#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         573     1.77653    0.872161   0.0758918
         574     1.75566      0.8737   0.0757751
         575     1.73406    0.875197   0.0756581
         576     1.71368    0.876652   0.0755408
         577     1.69286    0.878067   0.0754231
         578     1.67068    0.879438   0.0753051
         579     1.64786    0.880765   0.0751867
         580     1.62563     0.88205   0.0750681
         581     1.60353    0.883291   0.0749491
         582     1.58156    0.884491   0.0748299
         583     1.55876    0.885648   0.0747105
         584     1.53683    0.886763   0.0745909
         585     1.51407    0.887835   0.0744711
         586     1.49171    0.888866   0.0743512
         587     1.46902    0.889854   0.0742311
         588     1.44601      0.8908   0.0741109
         589     1.42244    0.891702   0.0739905
         590     1.39954    0.892563   0.0738701
         591     1.37708    0.893383   0.0737497
         592     1.35437    0.894162   0.0736292
         593      1.3312    0.894899   0.0735087
         594      1.3081    0.895594   0.0733883
         595     1.28486    0.896248   0.0732679
         596     1.26322    0.896864   0.0731475
         597     1.24181    0.897442   0.0730273
         598     1.21996    0.897981   0.0729071
         599     1.19823    0.898483   0.0727871
         600     1.17716    0.898947   0.0726673
         601     1.15684    0.899376   0.0725477
         602     1.13613    0.899769   0.0724282
         603     1.11606    0.900128    0.072309
         604     1.09694    0.900454     0.07219
         605     1.08004    0.900751   0.0720713
         606     1.06325    0.901019   0.0719529
         607     1.04638    0.901258   0.0718347
         608      1.0314    0.901473   0.0717169
         609     1.01715    0.901662   0.0715994
         610     1.00413     0.90183   0.0714822
         611    0.992366    0.901979   0.0713654
         612    0.981144    0.902108   0.0712489
         613    0.971185    0.902221   0.0711327
         614    0.962245    0.902318    0.071017
         615    0.954547    0.902403   0.0709015
         616    0.947583    0.902477   0.0707865
         617    0.941564     0.90254   0.0706718
         618    0.935005    0.902593   0.0705574
         619    0.930752    0.902638   0.0704435
         620    0.927309    0.902678   0.0703299
         621    0.924142    0.902712   0.0702166
         622    0.922159    0.902744   0.0701037
         623    0.920096    0.902772   0.0699912
         624    0.919099    0.902798   0.0698791
         625    0.917911    0.902822   0.0697673
         626     0.91695    0.902844   0.0696558
         627    0.917848    0.902868   0.0695447
         628    0.919113    0.902894    0.069434
         629    0.920943    0.902923   0.0693236
         630    0.921849    0.902953   0.0692136
         631    0.923235    0.902985   0.0691039
         632    0.924836     0.90302   0.0689946
         633    0.927108    0.903058   0.0688856
         634    0.929075    0.903099   0.0687769
         635    0.931205    0.903143   0.0686686
         636    0.933969    0.903192   0.0685607
         637    0.936402    0.903244   0.0684531
         638    0.938984      0.9033   0.0683458
         639    0.941955     0.90336   0.0682389
         640    0.945555    0.903426   0.0681323
         641    0.947621    0.903495    0.068026
         642    0.951286    0.903569   0.0679201
         643    0.954859    0.903649   0.0678145
         644     0.95858    0.903735   0.0677093
         645    0.962925    0.903826   0.0676044
         646    0.966921    0.903924   0.0674998
         647    0.970552    0.904027   0.0673955
         648    0.975001    0.904136   0.0672916
         649    0.979042    0.904252    0.067188
         650    0.983851    0.904374   0.0670848
         651    0.988194    0.904503   0.0669818
         652    0.992522    0.904638   0.0668793
         653    0.997285     0.90478    0.066777
         654     1.00149    0.904928    0.066675
         655     1.00511    0.905081   0.0665734
         656     1.00908    0.905239   0.0664721
         657     1.01385    0.905405   0.0663712
         658     1.01749    0.905575   0.0662705
         659     1.02215    0.905752   0.0661702
         660     1.02542    0.905933   0.0660702
