# VELOCITY:     AVE_POFV:        ERROR:
   0.0942809           0   0.0141627
    0.282843       0.236    0.113511
    0.471405      1.2965    0.133447
    0.659966      1.1185    0.259909
    0.848528      2.4585    0.258823
     1.03709       3.761    0.288666
     1.22565       5.223    0.404972
     1.41421      7.6115    0.313818
     1.60278      8.0925    0.312636
     1.79134      7.9805    0.301476
      1.9799       7.473    0.419707
     2.16846      7.0875    0.207369
     2.35702      6.5385    0.293348
     2.54558      7.2725    0.337828
     2.73415      7.2675     0.30762
     2.92271      7.6955    0.269727
     3.11127        6.06    0.201994
     3.29983      5.2675     0.21788
     3.48839      3.7715    0.216024
     3.67696      1.6305    0.203115
     3.86552      2.4545      0.2115
     4.05408      1.6715    0.191481
     4.24264      1.3205     0.18202
      4.4312       1.696    0.160688
     4.61976        1.25     0.13948
     4.80833      0.8305    0.104035
     4.99689      0.7715   0.0697765
     5.18545      0.1255   0.0556941
     5.37401       0.038   0.0406877
     5.56257           0    0.050152
   0.0942809       0.463   0.0264434
    0.282843       1.089    0.113229
    0.471405      1.7855    0.130792
    0.659966      1.7685    0.249094
    0.848528       2.171    0.249224
     1.03709       3.503    0.276647
     1.22565       3.075       0.398
     1.41421      6.1735    0.297067
     1.60278      5.3215    0.309456
     1.79134       8.658    0.289065
      1.9799       8.473     0.39639
     2.16846      9.5925    0.216463
     2.35702      9.5145    0.309611
     2.54558       7.072    0.320599
     2.73415       4.549    0.314277
     2.92271       7.723    0.276741
     3.11127       6.998    0.199028
     3.29983      4.5445    0.206512
     3.48839      3.9465    0.205346
     3.67696       2.661    0.191901
     3.86552      2.5515    0.200766
     4.05408       0.807    0.189393
     4.24264        1.79    0.172296
      4.4312       0.946    0.152072
     4.61976      0.9665    0.131762
     4.80833       0.577   0.0982575
     4.99689       0.545   0.0673818
     5.18545      0.1605   0.0529357
     5.37401       0.387   0.0400848
     5.56257      0.1875   0.0473658
   0.0942809       0.076   0.0250592
    0.282843       0.379    0.107334
    0.471405      1.1435    0.123918
    0.659966      1.4715    0.241896
    0.848528       2.775    0.236443
     1.03709      3.8815    0.263068
     1.22565      3.9785    0.380671
     1.41421      4.6525    0.297341
     1.60278      6.4225    0.294374
     1.79134       8.607    0.277068
      1.9799       6.237    0.392746
     2.16846       7.858    0.205165
     2.35702       9.101    0.310766
     2.54558      9.1465     0.31362
     2.73415        8.26    0.309011
     2.92271      7.8365    0.281577
     3.11127      6.0765    0.188588
     3.29983      4.6205    0.195995
     3.48839      4.6095    0.202116
     3.67696       3.334    0.185965
     3.86552       1.885    0.190877
     4.05408       1.875    0.179477
     4.24264       1.174    0.164598
      4.4312      0.9085     0.14446
     4.61976      0.2665    0.129192
     4.80833       0.857   0.0942692
     4.99689       0.425     0.06416
     5.18545       0.117   0.0507165
     5.37401      0.0255   0.0388707
     5.56257           0   0.0458875
   0.0942809           0   0.0240135
    0.282843           0    0.104276
    0.471405      0.1885    0.127112
    0.659966        1.59    0.233631
    0.848528      2.1795    0.228219
     1.03709      3.6605    0.251859
     1.22565      3.7985    0.365943
     1.41421      5.2675    0.288071
     1.60278      4.2995    0.307324
     1.79134      8.1215    0.263601
      1.9799      9.3495    0.376187
     2.16846     10.0415    0.219424
     2.35702       8.408    0.301018
     2.54558     10.4085    0.325847
     2.73415      9.6465    0.326151
     2.92271       5.848    0.267533
     3.11127      4.8955    0.187202
     3.29983       3.766    0.193378
     3.48839       6.474     0.23779
     3.67696      3.9975    0.189159
     3.86552       2.361    0.181542
     4.05408       1.061    0.174221
     4.24264       0.681    0.162207
      4.4312         0.9      0.1376
     4.61976       0.647    0.123267
     4.80833       0.377   0.0901094
     4.99689      0.0325   0.0623902
     5.18545           0     0.04978
     5.37401           0   0.0379427
     5.56257           0   0.0444429
