# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
     1.79134       7.365     2.88346    0.629168
      1.9799       4.305     2.00346    0.432743
     2.16846       5.905     2.75615    0.640596
     2.35702       22.21     25.2988     4.73222
     2.54558      19.955     49.4996     7.03224
     2.73415       10.56     8.87962     1.28419
     2.92271       6.295     2.82423    0.605063
     3.11127        5.77     2.64808    0.757743
     3.29983       5.895     2.38538    0.635817
     3.48839       0.675     1.16231    0.367001
     3.67696        4.05    0.536923    0.293329
     3.86552         0.7    0.430769    0.140644
     4.05408        0.48    0.181154    0.079061
     4.24264           0       0.195    0.110039
      4.4312           1    0.420769    0.130835
     4.61976           0        0.03   0.0288231
     4.80833           0   0.0130769   0.0125639
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0153571   0.0124383
    0.282843       0.055      0.1375   0.0590653
    0.471405         1.1    0.384643    0.113134
    0.659966       1.105      0.7675    0.275267
    0.848528        1.07    0.618929    0.159991
     1.03709       1.985    0.378571    0.146691
     1.22565        2.71     1.30821    0.355854
     1.41421       2.045    0.862143    0.230559
     1.60278       2.985     1.89286    0.441019
     1.79134       7.375     3.20429    0.660982
      1.9799       5.105       2.225     0.45502
     2.16846        7.36       3.085     0.67398
     2.35702      20.955     24.9886     4.40437
     2.54558      15.045     47.0386     6.94724
     2.73415        9.56     8.92821     1.19338
     2.92271        9.33     3.28893    0.718463
     3.11127        6.68     2.93607     0.75637
     3.29983       6.055      2.6475    0.642161
     3.48839       3.155     1.30464    0.367352
     3.67696       1.345    0.594643    0.277998
     3.86552        1.68        0.52    0.156363
     4.05408         0.3    0.189643   0.0738681
     4.24264           0    0.181071    0.103057
      4.4312           1    0.462143    0.127864
     4.61976           0   0.0278571   0.0268438
     4.80833           0   0.0121429   0.0117011
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0143333   0.0116511
    0.282843           0    0.128333   0.0558344
    0.471405       1.895    0.485333     0.14357
    0.659966       1.655    0.826667    0.263198
    0.848528        1.35    0.667667    0.156572
     1.03709       0.845    0.409667    0.140169
     1.22565        2.88       1.413    0.347216
     1.41421        2.91    0.998667    0.252393
     1.60278       3.295     1.98633    0.421408
     1.79134       4.655       3.301    0.623952
      1.9799       7.765     2.59433    0.554681
     2.16846        8.91     3.47333    0.732428
     2.35702        15.5      24.356     4.15592
     2.54558      14.095     44.8423     6.82242
     2.73415       10.59       9.039     1.11895
     2.92271        7.71     3.58367    0.728517
     3.11127       7.775     3.25867    0.771679
     3.29983        4.15     2.74767    0.607112
     3.48839       6.405     1.64467    0.474829
     3.67696       0.835    0.610667    0.259926
     3.86552        2.99    0.684667    0.215883
     4.05408        0.79    0.229667   0.0790464
     4.24264           0       0.169   0.0968908
      4.4312           1       0.498    0.124266
     4.61976           0       0.026   0.0251184
     4.80833           0   0.0113333    0.010949
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0134375   0.0109573
    0.282843         0.6    0.157812   0.0596211
    0.471405         0.4        0.48    0.134696
    0.659966           1      0.8375    0.246971
    0.848528       1.655    0.729375    0.158481
     1.03709       0.665    0.425625    0.132313
     1.22565           3     1.51219    0.339387
     1.41421       4.655     1.22719    0.323954
     1.60278        4.21     2.12531    0.417358
     1.79134           4     3.34469    0.586483
      1.9799      10.285       3.075    0.697864
     2.16846      10.355     3.90344    0.803068
     2.35702      10.925     23.5166     3.98005
     2.54558      15.005     42.9775       6.646
     2.73415       8.515     9.00625      1.0495
     2.92271        7.49     3.82781    0.722738
     3.11127       5.375     3.39094    0.734698
     3.29983        8.93     3.13406    0.681118
     3.48839        3.75     1.77625    0.463026
     3.67696       2.065    0.701562    0.259087
     3.86552       2.365    0.789687    0.226499
     4.05408       0.725    0.260625   0.0799388
     4.24264       0.335    0.179375   0.0913889
      4.4312       1.405    0.554688    0.128781
     4.61976        0.29      0.0425   0.0284564
     4.80833           0    0.010625   0.0102876
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0126471   0.0103412
    0.282843           0    0.148529   0.0568321
    0.471405       0.375    0.473824    0.126914
    0.659966       1.685    0.887353    0.237421
    0.848528       2.375    0.826176     0.17626
     1.03709        1.83    0.508235     0.14809
     1.22565       3.595     1.63471     0.34082
     1.41421       5.055     1.45235    0.375073
     1.60278        3.97     2.23382    0.406669
     1.79134        3.03     3.32618    0.552276
      1.9799       9.475     3.45147     0.75153
     2.16846       10.87     4.31324    0.854009
     2.35702       10.56     22.7544     3.81821
     2.54558         9.5     41.0082     6.54031
     2.73415       9.875     9.05735    0.989007
     2.92271       8.615     4.10941    0.733033
     3.11127       9.435     3.74647    0.772731
     3.29983        7.21     3.37382    0.681947
     3.48839        2.26     1.80471    0.436662
     3.67696       1.695        0.76     0.25035
     3.86552       2.515    0.891176    0.234815
     4.05408       1.955    0.360294    0.122516
     4.24264        0.97    0.225882   0.0971285
      4.4312        1.15    0.589706    0.125877
     4.61976           0        0.04   0.0268921
     4.80833           0        0.01  0.00970143
     4.99689           0           0           0
     5.18545           0           0           0
