#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         509      2.9277     2.94356 0.000737885
         510     2.92818     2.94353 0.000737054
         511      2.9287      2.9435 0.000736183
         512     2.92926     2.94347 0.000735271
         513     2.92985     2.94345 0.000734317
         514     2.93047     2.94342 0.000733323
         515     2.93111      2.9434 0.000732288
         516     2.93177     2.94337 0.000731216
         517     2.93245     2.94335 0.000730107
         518     2.93313     2.94333 0.000728964
         519     2.93382     2.94332  0.00072779
         520     2.93451      2.9433 0.000726587
         521      2.9352     2.94328 0.000725358
         522     2.93588     2.94327 0.000724107
         523     2.93655     2.94326 0.000722837
         524     2.93721     2.94324 0.000721549
         525     2.93785     2.94323 0.000720248
         526     2.93847     2.94322 0.000718936
         527     2.93907     2.94322 0.000717615
         528     2.93965     2.94321 0.000716287
         529      2.9402      2.9432 0.000714956
         530     2.94072      2.9432 0.000713622
         531     2.94121      2.9432 0.000712288
         532     2.94168     2.94319 0.000710955
         533      2.9421     2.94319 0.000709624
         534      2.9425     2.94319 0.000708296
         535     2.94286     2.94319 0.000706973
         536     2.94318     2.94319 0.000705654
         537     2.94347     2.94319  0.00070434
         538     2.94371     2.94319 0.000703031
         539     2.94392     2.94319 0.000701728
         540      2.9441     2.94319 0.000700431
         541     2.94423      2.9432 0.000699139
         542     2.94432      2.9432 0.000697852
         543     2.94437      2.9432  0.00069657
         544     2.94438      2.9432 0.000695293
         545     2.94435      2.9432  0.00069402
         546     2.94428     2.94321 0.000692752
         547     2.94417     2.94321 0.000691488
         548     2.94402     2.94321 0.000690228
         549     2.94382     2.94321 0.000688971
         550     2.94359     2.94321 0.000687719
         551     2.94331     2.94321 0.000686471
         552       2.943     2.94321 0.000685227
         553     2.94264     2.94321 0.000683989
         554     2.94224     2.94321 0.000682757
         555      2.9418     2.94321 0.000681531
         556     2.94133      2.9432 0.000680314
         557     2.94081      2.9432 0.000679106
         558     2.94026     2.94319 0.000677909
         559     2.93967     2.94319 0.000676726
         560     2.93905     2.94318 0.000675558
         561     2.93839     2.94317 0.000674408
         562      2.9377     2.94316 0.000673278
         563     2.93697     2.94315 0.000672172
         564     2.93622     2.94314 0.000671092
         565     2.93544     2.94312 0.000670043
         566     2.93463     2.94311 0.000669027
         567      2.9338     2.94309 0.000668049
         568     2.93295     2.94307 0.000667111
         569     2.93208     2.94306 0.000666219
         570     2.93119     2.94303 0.000665375
         571     2.93029     2.94301 0.000664584
         572     2.92938     2.94299 0.000663849
         573     2.92847     2.94296 0.000663175
         574     2.92755     2.94294 0.000662563
         575     2.92663     2.94291 0.000662017
         576     2.92572     2.94288  0.00066154
         577     2.92481     2.94285 0.000661135
         578     2.92392     2.94281 0.000660801
         579     2.92304     2.94278 0.000660542
         580     2.92218     2.94274 0.000660357
         581     2.92135     2.94271 0.000660246
         582     2.92055     2.94267 0.000660208
         583     2.91978     2.94263 0.000660243
         584     2.91904     2.94259 0.000660347
         585     2.91834     2.94255 0.000660517
         586     2.91769     2.94251 0.000660751
         587     2.91709     2.94246 0.000661043
         588     2.91653     2.94242 0.000661388
         589     2.91602     2.94237 0.000661781
         590     2.91557     2.94233 0.000662217
         591     2.91518     2.94228 0.000662687
         592     2.91485     2.94224 0.000663186
         593     2.91457     2.94219 0.000663706
         594     2.91436     2.94214  0.00066424
         595     2.91421      2.9421 0.000664781
         596     2.91412     2.94205 0.000665321
         597     2.91409       2.942 0.000665853
         598     2.91412     2.94196 0.000666369
         599     2.91421     2.94191 0.000666865
         600     2.91436     2.94186 0.000667333
         601     2.91456     2.94182 0.000667767
         602     2.91481     2.94177 0.000668163
         603     2.91511     2.94173 0.000668516
         604     2.91546     2.94168 0.000668823
         605     2.91585     2.94164 0.000669079
         606     2.91628      2.9416 0.000669282
         607     2.91675     2.94156 0.000669431
         608     2.91724     2.94152 0.000669524
         609     2.91776     2.94148  0.00066956
         610      2.9183     2.94144  0.00066954
         611     2.91886     2.94141 0.000669464
         612     2.91943     2.94137 0.000669332
         613     2.92001     2.94133 0.000669147
