,xpred_1layers,xpred_2layers,xpred_3layers,ypred_1layers,ypred_2layers,ypred_3layers
52,0.05050505050505061,0.05050505050505061,0.05050505050505061,3.7867036,3.8427894,3.8781338
53,0.07070707070707072,0.07070707070707072,0.07070707070707072,3.7286692,3.7791142,3.811181
54,0.09090909090909105,0.09090909090909105,0.09090909090909105,3.6706347,3.7154384,3.744228
55,0.11111111111111116,0.11111111111111116,0.11111111111111116,3.6126003,3.6517622,3.6772752
56,0.1313131313131315,0.1313131313131315,0.1313131313131315,3.554566,3.5880864,3.610323
57,0.1515151515151516,0.1515151515151516,0.1515151515151516,3.4965315,3.5244105,3.5433698
58,0.1717171717171717,0.1717171717171717,0.1717171717171717,3.438497,3.4607348,3.476417
59,0.19191919191919204,0.19191919191919204,0.19191919191919204,3.3804626,3.3970585,3.4094644
60,0.21212121212121215,0.21212121212121215,0.21212121212121215,3.3224282,3.3333828,3.3430338
61,0.2323232323232325,0.2323232323232325,0.2323232323232325,3.2643938,3.2697072,3.2760034
62,0.2525252525252526,0.2525252525252526,0.2525252525252526,3.2063594,3.206031,3.2088242
63,0.27272727272727293,0.27272727272727293,0.27272727272727293,3.148325,3.1423552,3.1414323
64,0.29292929292929304,0.29292929292929304,0.29292929292929304,3.090291,3.0786793,3.074041
65,0.31313131313131315,0.31313131313131315,0.31313131313131315,3.0322564,3.0150037,3.0066493
66,0.3333333333333335,0.3333333333333335,0.3333333333333335,2.9742222,2.9513276,2.9392576
67,0.3535353535353536,0.3535353535353536,0.3535353535353536,2.9161878,2.887652,2.8718662
68,0.3737373737373739,0.3737373737373739,0.3737373737373739,2.8581533,2.823976,2.8044746
69,0.39393939393939403,0.39393939393939403,0.39393939393939403,2.800119,2.7603,2.737083
70,0.41414141414141437,0.41414141414141437,0.41414141414141437,2.7420845,2.6970682,2.6696916
71,0.4343434343434345,0.4343434343434345,0.4343434343434345,2.68405,2.6346226,2.6022997
72,0.4545454545454546,0.4545454545454546,0.4545454545454546,2.6260157,2.572177,2.5349083
73,0.4747474747474749,0.4747474747474749,0.4747474747474749,2.5679812,2.5110536,2.467517
74,0.49494949494949503,0.49494949494949503,0.49494949494949503,2.509947,2.4576306,2.400125
75,0.5151515151515154,0.5151515151515154,0.5151515151515154,2.4519126,2.4042077,2.3327336
76,0.5353535353535355,0.5353535353535355,0.5353535353535355,2.3938785,2.3558917,2.2653422
77,0.5555555555555556,0.5555555555555556,0.5555555555555556,2.3358438,2.3129957,2.2099648
78,0.5757575757575759,0.5757575757575759,0.5757575757575759,2.2778094,2.2700994,2.17875
79,0.595959595959596,0.595959595959596,0.595959595959596,2.2197752,2.2358115,2.1475358
80,0.6161616161616164,0.6161616161616164,0.6161616161616164,2.169303,2.2082067,2.116321
81,0.6363636363636365,0.6363636363636365,0.6363636363636365,2.1456661,2.1829517,2.0851066
82,0.6565656565656568,0.6565656565656568,0.6565656565656568,2.122029,2.157697,2.0538926
83,0.6767676767676769,0.6767676767676769,0.6767676767676769,2.098392,2.1324425,2.0286257
84,0.696969696969697,0.696969696969697,0.696969696969697,2.0747552,2.1071873,2.0190516
85,0.7171717171717173,0.7171717171717173,0.7171717171717173,2.0511181,2.0819325,2.0094771
86,0.7373737373737375,0.7373737373737375,0.7373737373737375,2.0274813,2.0566778,1.9999031
87,0.7575757575757578,0.7575757575757578,0.7575757575757578,2.0038443,2.0314233,1.9903288
88,0.7777777777777779,0.7777777777777779,0.7777777777777779,1.9802072,2.0061684,1.9807544
89,0.7979797979797982,0.7979797979797982,0.7979797979797982,1.9565704,1.9809136,1.9711802
90,0.8181818181818183,0.8181818181818183,0.8181818181818183,1.9329333,1.9556589,1.961606
91,0.8383838383838385,0.8383838383838385,0.8383838383838385,1.9092963,1.9304042,1.9520317
92,0.8585858585858588,0.8585858585858588,0.8585858585858588,1.8856592,1.9051495,1.9424574
93,0.8787878787878789,0.8787878787878789,0.8787878787878789,1.8620224,1.8798947,1.9328833
94,0.8989898989898992,0.8989898989898992,0.8989898989898992,1.8383855,1.8546402,1.923309
95,0.9191919191919193,0.9191919191919193,0.9191919191919193,1.8147484,1.8293855,1.9137347
96,0.9393939393939394,0.9393939393939394,0.9393939393939394,1.7911115,1.8041306,1.9041605
97,0.9595959595959598,0.9595959595959598,0.9595959595959598,1.7674747,1.7788757,1.8945863
98,0.9797979797979799,0.9797979797979799,0.9797979797979799,1.7438375,1.7536209,1.8850119
99,1.0,1.0,1.0,1.7202005,1.7283663,1.8754377
