,xpred_1layers,xpred_2layers,xpred_3layers,ypred_1layers,ypred_2layers,ypred_3layers
51,0.030303030303030498,0.030303030303030498,0.030303030303030498,3.245328,3.4562106,3.684947
52,0.05050505050505061,0.05050505050505061,0.05050505050505061,3.2227874,3.4159486,3.6358252
53,0.07070707070707072,0.07070707070707072,0.07070707070707072,3.2002463,3.375687,3.5865326
54,0.09090909090909105,0.09090909090909105,0.09090909090909105,3.1777055,3.3353183,3.53724
55,0.11111111111111116,0.11111111111111116,0.11111111111111116,3.1551647,3.2947032,3.4879472
56,0.1313131313131315,0.1313131313131315,0.1313131313131315,3.1326237,3.2541668,3.4383445
57,0.1515151515151516,0.1515151515151516,0.1515151515151516,3.1100829,3.2136304,3.3879232
58,0.1717171717171717,0.1717171717171717,0.1717171717171717,3.087542,3.1730943,3.337502
59,0.19191919191919204,0.19191919191919204,0.19191919191919204,3.065001,3.132558,3.2870808
60,0.21212121212121215,0.21212121212121215,0.21212121212121215,3.04246,3.0920217,3.2366595
61,0.2323232323232325,0.2323232323232325,0.2323232323232325,3.0199194,3.0514853,3.1862383
62,0.2525252525252526,0.2525252525252526,0.2525252525252526,2.9973783,3.0109491,3.1358173
63,0.27272727272727293,0.27272727272727293,0.27272727272727293,2.9748373,2.9704127,3.085396
64,0.29292929292929304,0.29292929292929304,0.29292929292929304,2.9522963,2.9298766,3.0349748
65,0.31313131313131315,0.31313131313131315,0.31313131313131315,2.9297557,2.8893402,2.9845538
66,0.3333333333333335,0.3333333333333335,0.3333333333333335,2.9072146,2.8514948,2.9341326
67,0.3535353535353536,0.3535353535353536,0.3535353535353536,2.8846736,2.8148205,2.8837113
68,0.3737373737373739,0.3737373737373739,0.3737373737373739,2.862133,2.7782514,2.83329
69,0.39393939393939403,0.39393939393939403,0.39393939393939403,2.839592,2.7418911,2.782869
70,0.41414141414141437,0.41414141414141437,0.41414141414141437,2.8170512,2.7061226,2.7324476
71,0.4343434343434345,0.4343434343434345,0.4343434343434345,2.7945104,2.6703541,2.6820269
72,0.4545454545454546,0.4545454545454546,0.4545454545454546,2.7719693,2.6345854,2.6321115
73,0.4747474747474749,0.4747474747474749,0.4747474747474749,2.7494283,2.5988169,2.5825367
