#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         460     2.92492     2.97022 0.000786358
         461     2.92287     2.97012 0.000791333
         462     2.92088     2.97001 0.000796765
         463     2.91897      2.9699 0.000802635
         464     2.91713     2.96979 0.000808924
         465     2.91537     2.96967 0.000815606
         466      2.9137     2.96955 0.000822654
         467     2.91211     2.96943 0.000830039
         468     2.91061     2.96931 0.000837728
         469      2.9092     2.96918 0.000845686
         470      2.9079     2.96905 0.000853879
         471     2.90669     2.96891 0.000862269
         472     2.90559     2.96878 0.000870817
         473      2.9046     2.96864 0.000879485
         474     2.90372     2.96851 0.000888231
         475     2.90296     2.96837 0.000897015
         476     2.90233     2.96823 0.000905796
         477     2.90183     2.96809 0.000914532
         478     2.90146     2.96795 0.000923182
         479     2.90123     2.96781 0.000931704
         480     2.90114     2.96767 0.000940059
         481      2.9012     2.96754 0.000948208
         482     2.90141      2.9674 0.000956115
         483     2.90176     2.96726 0.000963746
         484     2.90226     2.96713 0.000971069
         485      2.9029       2.967 0.000978056
         486     2.90367     2.96687 0.000984684
         487     2.90458     2.96674 0.000990933
         488     2.90561     2.96661 0.000996787
         489     2.90676     2.96649  0.00100223
         490     2.90801     2.96637  0.00100727
         491     2.90935     2.96625  0.00101189
         492     2.91077     2.96614   0.0010161
         493     2.91225     2.96603   0.0010199
         494     2.91379     2.96593  0.00102331
         495     2.91536     2.96582  0.00102632
         496     2.91696     2.96573  0.00102897
         497     2.91858     2.96563  0.00103127
         498     2.92019     2.96554  0.00103322
         499      2.9218     2.96545  0.00103486
         500     2.92339     2.96537  0.00103621
         501     2.92496     2.96529  0.00103727
         502     2.92649     2.96521  0.00103808
         503     2.92799     2.96514  0.00103865
         504     2.92944     2.96507  0.00103901
         505     2.93085       2.965  0.00103915
         506     2.93222     2.96493  0.00103912
         507     2.93353     2.96487  0.00103891
         508      2.9348     2.96481  0.00103855
         509     2.93602     2.96476  0.00103805
         510      2.9372      2.9647  0.00103742
         511     2.93834     2.96465  0.00103667
         512     2.93944      2.9646  0.00103582
         513      2.9405     2.96455  0.00103486
         514     2.94153     2.96451  0.00103382
         515     2.94253     2.96447  0.00103269
         516      2.9435     2.96443  0.00103149
         517     2.94445     2.96439  0.00103022
         518     2.94537     2.96435  0.00102888
         519     2.94628     2.96431  0.00102749
         520     2.94718     2.96428  0.00102604
         521     2.94806     2.96425  0.00102454
         522     2.94893     2.96422    0.001023
         523     2.94979     2.96419  0.00102142
         524     2.95064     2.96417  0.00101979
         525     2.95149     2.96414  0.00101814
         526     2.95232     2.96412  0.00101645
         527     2.95315      2.9641  0.00101473
         528     2.95397     2.96408  0.00101299
         529     2.95479     2.96406  0.00101123
         530     2.95559     2.96405  0.00100945
         531     2.95638     2.96403  0.00100765
         532     2.95715     2.96402  0.00100584
         533     2.95792     2.96401  0.00100402
         534     2.95866       2.964  0.00100219
         535     2.95938     2.96399  0.00100035
         536     2.96009     2.96398 0.000998513
         537     2.96076     2.96398 0.000996672
         538     2.96141     2.96397  0.00099483
         539     2.96203     2.96397 0.000992991
         540     2.96261     2.96397 0.000991155
         541     2.96316     2.96396 0.000989325
         542     2.96367     2.96396 0.000987499
         543     2.96414     2.96396 0.000985681
         544     2.96456     2.96397 0.000983869
         545     2.96493     2.96397 0.000982066
         546     2.96526     2.96397  0.00098027
         547     2.96553     2.96397 0.000978482
         548     2.96575     2.96398 0.000976702
         549     2.96591     2.96398 0.000974929
         550     2.96601     2.96398 0.000973164
         551     2.96606     2.96399 0.000971405
         552     2.96604     2.96399 0.000969652
