#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         710     1.97191     1.97527 0.000518009
         711     1.97073     1.97526 0.000517319
         712     1.96949     1.97525 0.000516656
         713     1.96821     1.97524 0.000516026
         714     1.96689     1.97523 0.000515436
         715     1.96553     1.97522 0.000514893
         716     1.96414      1.9752 0.000514407
         717     1.96272     1.97518 0.000513984
         718     1.96127     1.97516 0.000513633
         719      1.9598     1.97514 0.000513363
         720     1.95832     1.97512 0.000513181
         721     1.95683     1.97509 0.000513096
         722     1.95533     1.97507 0.000513115
         723     1.95384     1.97504 0.000513245
         724     1.95235     1.97501 0.000513492
         725     1.95088     1.97497 0.000513861
         726     1.94943     1.97494 0.000514356
         727     1.94802      1.9749 0.000514979
         728     1.94664     1.97486 0.000515733
