#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         334     3.29166     3.23072  0.00600026
         335     3.28886      3.2309  0.00598486
         336      3.2303      3.2309  0.00596705
         337     3.21139     3.23084  0.00594962
         338     3.21757      3.2308  0.00593215
         339     3.22591     3.23078  0.00591467
         340     3.25104     3.23084  0.00589757
         341     3.27235     3.23097  0.00588153
         342     3.23822     3.23099  0.00586437
         343     3.07795     3.23054  0.00586422
         344     3.14054     3.23028  0.00585301
         345     3.21696     3.23024  0.00583617
         346     3.25371     3.23031   0.0058197
         347     3.26213      3.2304  0.00580365
         348     3.26788     3.23051  0.00578797
         349      3.2806     3.23065  0.00577317
         350     3.28949     3.23082  0.00575912
         351     3.29106     3.23099  0.00574527
         352     3.28606     3.23115  0.00573108
         353     3.25893     3.23123  0.00571538
         354     3.21953     3.23119  0.00569933
         355     3.25606     3.23126  0.00568371
         356      3.2818      3.2314  0.00566951
         357      3.2796     3.23154  0.00565524
         358     3.26442     3.23163  0.00564019
         359     3.24116     3.23166  0.00562454
         360     3.25261     3.23172  0.00560922
         361      3.2703     3.23182   0.0055947
         362     3.26963     3.23193  0.00558022
         363     3.24064     3.23195   0.0055649
         364      3.2071     3.23188  0.00555003
         365     3.25205     3.23194   0.0055351
         366     3.29495     3.23211  0.00552265
         367     3.30519     3.23231  0.00551119
         368     3.29437     3.23248   0.0054988
         369     3.25052     3.23253  0.00548411
         370     3.24874     3.23257  0.00546946
         371     3.29238     3.23273   0.0054571
         372     3.30631     3.23293  0.00544601
         373     3.31128     3.23314  0.00543546
         374     3.31617     3.23336  0.00542546
         375     3.31933     3.23359  0.00541583
         376     3.31942     3.23382  0.00540624
         377     3.31487     3.23403  0.00539617
         378     3.30038     3.23421  0.00538475
         379     3.27555     3.23432  0.00537164
         380     3.25977     3.23439  0.00535793
         381     3.26327     3.23446   0.0053444
         382     3.27217     3.23456  0.00533132
         383     3.26734     3.23465  0.00531809
         384     3.27325     3.23475  0.00530519
         385     3.29921     3.23491  0.00529405
         386     3.30781      3.2351   0.0052837
         387     3.29174     3.23525  0.00527208
         388      3.2687     3.23534  0.00525919
         389     3.26324     3.23541  0.00524616
         390     3.27398     3.23551  0.00523364
         391     3.28184     3.23562   0.0052216
