#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         330     2.16561     2.15365  0.00404652
         331     2.15992     2.15367  0.00403434
         332     2.14986     2.15365  0.00402221
         333     2.16694     2.15369  0.00401033
         334     2.19444     2.15382  0.00400017
         335     2.19257     2.15393  0.00398991
         336     2.15353     2.15393  0.00397803
         337     2.14093     2.15389  0.00396642
         338     2.14505     2.15387  0.00395477
         339     2.15061     2.15386  0.00394311
         340     2.16736      2.1539  0.00393171
         341     2.18156     2.15398  0.00392102
         342     2.15881     2.15399  0.00390958
         343     2.05197     2.15369  0.00390948
         344      2.0937     2.15352  0.00390201
         345     2.14464     2.15349  0.00389078
         346     2.16914     2.15354   0.0038798
         347     2.17475      2.1536   0.0038691
         348     2.17859     2.15367  0.00385865
         349     2.18707     2.15377  0.00384878
         350       2.193     2.15388  0.00383941
         351     2.19404     2.15399  0.00383018
         352     2.19071      2.1541  0.00382072
         353     2.17262     2.15415  0.00381025
         354     2.14635     2.15413  0.00379955
         355     2.17071     2.15418  0.00378914
         356     2.18787     2.15427  0.00377968
         357      2.1864     2.15436  0.00377016
         358     2.17628     2.15442  0.00376013
         359     2.16077     2.15444  0.00374969
         360     2.16841     2.15448  0.00373948
         361      2.1802     2.15455   0.0037298
         362     2.17975     2.15462  0.00372015
         363     2.16043     2.15463  0.00370993
         364     2.13806     2.15459  0.00370002
         365     2.16803     2.15463  0.00369006
         366     2.19664     2.15474  0.00368177
         367     2.20346     2.15487  0.00367413
         368     2.19625     2.15499  0.00366586
         369     2.16702     2.15502  0.00365607
         370     2.16583     2.15505  0.00364631
         371     2.19492     2.15515  0.00363806
         372     2.20421     2.15529  0.00363067
         373     2.20752     2.15543  0.00362364
         374     2.21078     2.15557  0.00361697
         375     2.21289     2.15573  0.00361055
         376     2.21295     2.15588  0.00360416
         377     2.20991     2.15602  0.00359745
         378     2.20025     2.15614  0.00358983
         379      2.1837     2.15621   0.0035811
         380     2.17318     2.15626  0.00357195
         381     2.17551     2.15631  0.00356293
         382     2.18145     2.15637  0.00355421
         383     2.17823     2.15643  0.00354539
         384     2.18217      2.1565  0.00353679
         385     2.19948     2.15661  0.00352937
         386     2.20521     2.15674  0.00352247
         387      2.1945     2.15683  0.00351472
         388     2.17913     2.15689  0.00350613
         389      2.1755     2.15694  0.00349744
         390     2.18265       2.157   0.0034891
         391     2.18789     2.15708  0.00348107
         392     2.18793     2.15716  0.00347307
         393     2.18474     2.15723  0.00346495
         394     2.18143     2.15729   0.0034567
         395     2.18184     2.15736   0.0034485
         396     2.18387     2.15742  0.00344045
         397     2.18059     2.15748  0.00343227
         398     2.17091     2.15751  0.00342382
         399     2.16326     2.15753  0.00341527
         400     2.17218     2.15757  0.00340692
         401     2.18739     2.15764  0.00339924
         402     2.19009     2.15772  0.00339174
         403     2.18873      2.1578   0.0033842
         404     2.18859     2.15787  0.00337668
         405     2.19162     2.15796  0.00336937
         406     2.19113     2.15804  0.00336206
         407     2.18782     2.15811   0.0033546
         408     2.18089     2.15817  0.00334684
         409     2.17773     2.15822    0.003339
         410     2.20649     2.15833  0.00333293
         411     2.23123     2.15851  0.00332954
         412     2.23118     2.15869  0.00332612
         413     2.19675     2.15878  0.00331935
         414     2.16572      2.1588  0.00331137
         415     2.19742     2.15889   0.0033047
         416     2.21854     2.15903  0.00329987
         417     2.22681      2.1592  0.00329595
         418     2.23359     2.15937  0.00329287
         419     2.24011     2.15957  0.00329064
