,sigma,epochs,train_dim,loss,val_loss
226,0.2631578947368421,20.0,60.0,0.9730870723724365,0.9057380557060242
227,0.2631578947368421,30.0,60.0,0.6787413358688354,0.6737940907478333
228,0.2631578947368421,40.0,60.0,0.49351367354393005,0.5172824263572693
229,0.2631578947368421,50.0,60.0,0.3702180087566376,0.40561744570732117
230,0.2631578947368421,60.0,60.0,0.28326085209846497,0.3196977376937866
231,0.2631578947368421,70.0,60.0,0.219453364610672,0.2536105215549469
232,0.2631578947368421,80.0,60.0,0.17072297632694244,0.20056293904781342
233,0.2631578947368421,90.0,60.0,0.13356511294841766,0.15900692343711853
234,0.3157894736842105,10.0,60.0,1.4844013452529907,1.2900729179382324
235,0.3157894736842105,20.0,60.0,0.9712865352630615,0.9043764472007751
236,0.3157894736842105,30.0,60.0,0.6786211133003235,0.6727896928787231
237,0.3157894736842105,40.0,60.0,0.49341240525245667,0.5180494785308838
238,0.3157894736842105,50.0,60.0,0.3715238571166992,0.40673232078552246
239,0.3157894736842105,60.0,60.0,0.28341326117515564,0.3201324939727783
240,0.3157894736842105,70.0,60.0,0.2193339616060257,0.2533026933670044
241,0.3157894736842105,80.0,60.0,0.17058150470256805,0.20034924149513245
242,0.3157894736842105,90.0,60.0,0.13350875675678253,0.15894654393196106
243,0.3684210526315789,10.0,60.0,1.48504638671875,1.2906670570373535
244,0.3684210526315789,20.0,60.0,0.9718964695930481,0.9047097563743591
245,0.3684210526315789,30.0,60.0,0.6794723272323608,0.6741441488265991
246,0.3684210526315789,40.0,60.0,0.4934424161911011,0.5175561308860779
247,0.3684210526315789,50.0,60.0,0.3718859851360321,0.40684401988983154
248,0.3684210526315789,60.0,60.0,0.28410980105400085,0.32083484530448914
249,0.3684210526315789,70.0,60.0,0.21947036683559418,0.25370582938194275
250,0.3684210526315789,80.0,60.0,0.17067429423332214,0.20083972811698914
251,0.3684210526315789,90.0,60.0,0.13361689448356628,0.15923604369163513
252,0.42105263157894735,10.0,60.0,1.4868273735046387,1.2881100177764893
253,0.42105263157894735,20.0,60.0,0.9696336984634399,0.9035747051239014
254,0.42105263157894735,30.0,60.0,0.6776362657546997,0.6728851795196533
255,0.42105263157894735,40.0,60.0,0.49451127648353577,0.518699586391449
256,0.42105263157894735,50.0,60.0,0.3716847598552704,0.40625473856925964
257,0.42105263157894735,60.0,60.0,0.2836064398288727,0.3202599585056305
258,0.42105263157894735,70.0,60.0,0.21958185732364655,0.25348982214927673
259,0.42105263157894735,80.0,60.0,0.1708100587129593,0.20052723586559296
260,0.42105263157894735,90.0,60.0,0.13335971534252167,0.15888908505439758
261,0.47368421052631576,10.0,60.0,1.4812909364700317,1.2881094217300415
262,0.47368421052631576,20.0,60.0,0.9719810485839844,0.9045596122741699
263,0.47368421052631576,30.0,60.0,0.6784858703613281,0.6739828586578369
264,0.47368421052631576,40.0,60.0,0.4943079650402069,0.5183322429656982
265,0.47368421052631576,50.0,60.0,0.3708265423774719,0.4065628945827484
266,0.47368421052631576,60.0,60.0,0.2840934693813324,0.3207957446575165
267,0.47368421052631576,70.0,60.0,0.21948207914829254,0.2535882294178009
268,0.47368421052631576,80.0,60.0,0.17114807665348053,0.20096763968467712
269,0.47368421052631576,90.0,60.0,0.13390302658081055,0.15948951244354248
270,0.5263157894736842,10.0,60.0,1.4838447570800781,1.2893524169921875
271,0.5263157894736842,20.0,60.0,0.9708029627799988,0.9039586782455444
