,sigma,epochs,train_dim,loss,val_loss
78,0.07364536362632146,64,495,0.005058479495346546,0.004945466760545969
79,0.07364536362632146,85,490,0.005345368757843971,0.0061129797250032425
80,0.07364536362632146,47,306,0.0073072644881904125,0.006897997111082077
81,0.07364536362632146,48,56,1.2351232767105103,1.3304589986801147
82,0.07364536362632146,69,336,0.0052285329438745975,0.005014283116906881
83,0.07364536362632146,99,89,0.09899351745843887,0.07805811613798141
84,0.07364536362632146,39,151,0.19160199165344238,0.2136063128709793
85,0.07364536362632146,22,448,0.04923587292432785,0.04301544278860092
86,0.07364536362632146,59,398,0.005473126657307148,0.004265746101737022
87,0.07364536362632146,76,470,0.0052935415878891945,0.0060057006776332855
88,0.07364536362632146,58,209,0.017136801034212112,0.01091219112277031
89,0.07364536362632146,97,122,0.005627969279885292,0.007805355824530125
90,0.07364536362632146,44,215,0.03367209434509277,0.026610082015395164
91,0.07364536362632146,13,133,0.641762912273407,0.6848947405815125
92,0.07364536362632146,37,277,0.009096191264688969,0.00834938045591116
93,0.07364536362632146,80,177,0.010773018933832645,0.011984404176473618
94,0.07364536362632146,90,28,0.5560492277145386,0.535165011882782
95,0.07364536362632146,94,482,0.005242766346782446,0.007019317243248224
96,0.07364536362632146,87,479,0.005133954808115959,0.004340802319347858
97,0.07364536362632146,47,283,0.021842800080776215,0.024805808439850807
98,0.07364536362632146,57,463,0.0052298204973340034,0.004607740323990583
99,0.07364536362632146,51,99,0.015071190893650055,0.015753915533423424
100,0.20870762574688317,85,39,0.038398776203393936,0.05240914225578308
101,0.20870762574688317,26,198,0.11753272265195847,0.11251436173915863
102,0.20870762574688317,30,20,3.3621609210968018,2.889289617538452
103,0.20870762574688317,77,412,0.044272590428590775,0.030508609488606453
104,0.20870762574688317,48,339,0.04504793882369995,0.05195675790309906
105,0.20870762574688317,25,125,0.1627701371908188,0.14560692012310028
106,0.20870762574688317,61,267,0.04301802068948746,0.04428210109472275
107,0.20870762574688317,52,54,0.08565963804721832,0.0611015260219574
108,0.20870762574688317,90,79,0.05697081238031387,0.046722669154405594
