# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
     5.84542           0    0.297833   0.0865958
     6.22254           0   0.0250417   0.0186981
     6.59966           0      0.1005   0.0613636
     6.97679           0   0.0281667   0.0218613
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562      0.0055    0.470692    0.149724
    0.565685       3.565     3.95035    0.430188
    0.942809      6.6295     7.44415     0.55316
     1.31993      11.752      11.927    0.679621
     1.69706      15.723     14.1135    0.473543
     2.07418      16.954     16.1903    0.702925
      2.4513     13.0045     14.7442    0.670895
     2.82843      13.924     12.5938    0.395411
     3.20555     10.2655     10.9743    0.354376
     3.58267      6.3895     5.84681    0.292948
      3.9598      4.3555     4.43115     0.27043
     4.33692      2.9685     2.45885    0.240849
     4.71405      1.1665     1.53696    0.263244
     5.09117       0.586    0.514192    0.105195
     5.46829       0.562    0.375346   0.0715325
     5.84542       0.149    0.286385   0.0806879
     6.22254           0   0.0231154   0.0173587
     6.59966           0   0.0927692   0.0571282
     6.97679           0       0.026   0.0202867
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562      0.2085    0.451964    0.140196
    0.565685       2.726     3.86289    0.408253
    0.942809        8.36     7.50957    0.517502
     1.31993     12.0955     11.9391    0.631183
     1.69706      17.788      14.376    0.507267
     2.07418     17.1315     16.2576    0.655922
      2.4513      13.394     14.6478    0.629868
     2.82843     11.6265     12.5247    0.373155
     3.20555       9.225     10.8494    0.350401
     3.58267      7.7075     5.97971    0.300664
      3.9598      1.0165     4.18725    0.343945
     4.33692       2.791     2.48257    0.224811
     4.71405      0.6255     1.47186    0.252363
     5.09117       0.772    0.532607   0.0992797
     5.46829       0.953    0.416607   0.0774137
     5.84542      0.6745    0.314107   0.0795444
     6.22254      0.3225      0.0445   0.0261621
     6.59966       0.544       0.125   0.0614709
     6.97679      0.0345   0.0266071   0.0188467
     7.35391       0.004 0.000285714 0.000275321
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562       0.456    0.452233     0.13085
    0.565685       3.284      3.8243    0.382856
    0.942809       8.804     7.59587    0.490144
     1.31993      10.898     11.8697    0.592908
     1.69706       15.49     14.4502    0.478855
     2.07418      18.342     16.3965    0.626741
      2.4513     14.9085     14.6652    0.588117
     2.82843      8.7145     12.2707     0.42605
     3.20555      10.856     10.8498    0.327041
     3.58267       6.186     5.99347    0.280934
      3.9598      2.1255      4.0498    0.347396
     4.33692      4.9185     2.64497    0.261993
     4.71405      1.2985      1.4603    0.235804
     5.09117       0.464    0.528033   0.0927663
     5.46829       0.171    0.400233   0.0739641
     5.84542       0.469    0.324433   0.0749087
     6.22254      0.1845   0.0538333   0.0260296
     6.59966        0.43    0.145333   0.0606426
     6.97679           0   0.0248333   0.0176736
     7.35391           0 0.000266667 0.000257624
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562       0.707    0.468156    0.123637
    0.565685      2.9615     3.77038    0.362705
    0.942809      6.3875     7.52034    0.465292
     1.31993      7.3455     11.5869    0.619618
     1.69706      18.283     14.6898    0.505304
     2.07418      17.741     16.4806    0.593176
      2.4513     14.5425     14.6575     0.55141
     2.82843     13.2895     12.3343    0.404152
     3.20555       9.775     10.7827    0.313425
     3.58267       8.059     6.12256    0.291532
      3.9598       3.588     4.02094     0.32688
     4.33692        3.24     2.68216    0.248244
     4.71405      1.1625     1.44169    0.221799
     5.09117       0.625    0.534094   0.0871662
     5.46829        0.13    0.383344   0.0712436
     5.84542       0.163    0.314344   0.0709032
     6.22254           0   0.0504687   0.0246192
     6.59966           0     0.13625   0.0575287
     6.97679           0   0.0232813    0.016637
     7.35391           0     0.00025 0.000242061
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
